,nanPerc,nullPerc,mean,stdev,min,25%,50%,75%,95%,97.5%,max
530.0,0.0,91.0,0.1,0.5,0,0,0,0,1,2,7
549.0,0.0,90.3,0.1,0.5,0,0,0,0,1,1,5
555.0,0.0,88.8,0.1,0.4,0,0,0,0,1,1,5
539.0,0.0,89.8,0.1,0.5,0,0,0,0,1,2,7
548.0,0.0,89.0,0.1,0.5,0,0,0,0,1,1,5
577.0,0.0,90.0,0.1,0.5,0,0,0,0,1,2,6
529.0,0.0,89.4,0.1,0.5,0,0,0,0,1,2,10
574.0,0.0,90.0,0.1,0.5,0,0,0,0,1,2,5
572.0,0.0,88.5,0.2,0.5,0,0,0,0,1,1,6
393.0,0.0,90.1,0.2,0.6,0,0,0,0,1,2,7
671.0,0.0,96.7,0.2,2.4,0,0,0,0,0,1,86
583.0,0.0,89.6,0.2,0.6,0,0,0,0,1,2,6
553.0,0.0,87.2,0.2,0.5,0,0,0,0,1,2,10
615.0,0.0,91.4,0.2,0.7,0,0,0,0,1,2,10
386.0,0.0,87.4,0.2,0.5,0,0,0,0,1,2,6
541.0,0.0,89.4,0.2,0.6,0,0,0,0,1,2,7
576.0,0.0,87.9,0.2,0.6,0,0,0,0,1,2,9
586.0,0.0,85.5,0.2,0.5,0,0,0,0,1,2,5
391.0,0.0,86.9,0.2,0.6,0,0,0,0,1,2,6
540.0,0.0,87.4,0.2,0.6,0,0,0,0,1,2,6
595.0,0.0,86.3,0.2,0.6,0,0,0,0,1,2,6
440.0,0.0,86.8,0.2,0.7,0,0,0,0,1,2,14
531.0,0.0,86.4,0.2,0.6,0,0,0,0,1,2,5
535.0,0.0,86.1,0.2,0.6,0,0,0,0,1,2,5
545.0,0.0,85.6,0.2,0.7,0,0,0,0,1,2,12
533.0,0.0,85.8,0.2,0.6,0,0,0,0,1,2,6
579.0,0.0,87.3,0.2,0.7,0,0,0,0,2,2,8
542.0,0.0,86.2,0.2,0.7,0,0,0,0,1,2,9
534.0,0.0,85.8,0.2,0.7,0,0,0,0,2,2,8
400.0,0.0,82.5,0.2,0.6,0,0,0,0,1,2,7
571.0,0.0,84.1,0.2,0.6,0,0,0,0,1,2,8
575.0,0.0,84.7,0.2,0.7,0,0,0,0,2,2,6
392.0,0.0,83.3,0.2,0.6,0,0,0,0,1,2,8
559.0,0.0,86.5,0.2,0.8,0,0,0,0,2,3,9
653.0,0.0,89.4,0.3,1.0,0,0,0,0,2,3,14
528.0,0.0,81.6,0.3,0.7,0,0,0,0,2,2,7
550.0,0.0,84.2,0.3,0.8,0,0,0,0,2,2,8
617.0,0.0,89.0,0.3,1.0,0,0,0,0,2,4,19
585.0,0.0,82.4,0.3,0.8,0,0,0,0,2,3,12
616.0,0.0,89.1,0.3,1.1,0,0,0,0,2,4,16
397.0,0.0,82.5,0.3,0.8,0,0,0,0,2,3,11
580.0,0.0,87.0,0.3,1.0,0,0,0,0,2,3,11
524.0,0.0,82.2,0.3,0.8,0,0,0,0,2,3,10
551.0,0.0,79.2,0.3,0.7,0,0,0,0,2,2,6
618.0,0.0,88.7,0.3,1.0,0,0,0,0,3,4,10
396.0,0.0,81.8,0.3,0.9,0,0,0,0,2,3,10
607.0,0.0,88.5,0.3,1.1,0,0,0,0,3,4,15
395.0,0.0,81.3,0.3,0.8,0,0,0,0,2,3,9
612.0,0.0,89.4,0.3,1.2,0,0,0,0,3,4,10
570.0,0.0,82.3,0.3,0.9,0,0,0,0,2,3,11
430.0,0.0,79.0,0.3,0.8,0,0,0,0,2,3,7
614.0,0.0,88.6,0.3,1.2,0,0,0,0,3,4,13
544.0,0.0,79.8,0.3,0.9,0,0,0,0,2,3,11
390.0,0.0,75.6,0.4,0.7,0,0,0,0,2,2,6
441.0,0.0,76.5,0.4,0.8,0,0,0,0,2,3,8
433.0,0.0,75.2,0.4,0.8,0,0,0,0,2,3,8
594.0,0.0,74.5,0.4,0.8,0,0,0,1,2,3,8
573.0,0.0,74.4,0.4,0.8,0,0,0,1,2,3,7
407.0,0.0,75.9,0.4,0.9,0,0,0,0,2,3,10
630.0,0.0,82.8,0.4,1.2,0,0,0,0,3,4,13
270.0,0.0,72.9,0.4,0.8,0,0,0,1,2,3,9
398.0,0.0,82.5,0.4,1.2,0,0,0,0,3,4,13
613.0,0.0,87.9,0.4,1.4,0,0,0,0,4,5,14
645.0,0.0,82.1,0.4,1.3,0,0,0,0,3,4,12
662.0,0.0,83.8,0.4,1.4,0,0,0,0,3,4,17
547.0,0.0,73.0,0.4,0.9,0,0,0,1,2,3,6
609.0,0.0,87.9,0.5,1.5,0,0,0,0,3,5,14
546.0,0.0,79.3,0.5,1.2,0,0,0,0,3,4,10
431.0,0.0,74.8,0.5,1.0,0,0,0,1,3,4,8
445.0,0.0,69.1,0.5,0.8,0,0,0,1,2,3,7
446.0,0.0,68.5,0.5,0.8,0,0,0,1,2,3,6
444.0,0.0,72.6,0.5,1.0,0,0,0,1,2,3,10
388.0,0.0,72.8,0.5,1.0,0,0,0,1,2,3,12
611.0,0.0,88.2,0.5,1.7,0,0,0,0,4,6,19
519.0,0.0,71.0,0.5,0.9,0,0,0,1,2,3,9
429.0,0.0,68.7,0.5,0.9,0,0,0,1,2,3,8
666.0,0.0,86.9,0.5,1.6,0,0,0,0,4,6,14
640.0,0.0,78.6,0.5,1.2,0,0,0,0,3,5,10
443.0,0.0,70.1,0.5,1.0,0,0,0,1,3,3,8
661.0,0.0,83.0,0.5,1.7,0,0,0,0,4,6,18
421.0,0.0,70.0,0.6,1.1,0,0,0,1,3,4,9
663.0,0.0,78.9,0.6,1.3,0,0,0,0,4,4,11
356.0,0.0,68.0,0.6,1.1,0,0,0,1,3,4,12
552.0,0.0,64.2,0.6,1.0,0,0,0,1,3,3,7
606.0,0.0,87.3,0.6,2.0,0,0,0,0,5,7,21
408.0,0.0,63.8,0.6,1.1,0,0,0,1,3,4,10
438.0,0.0,66.1,0.6,1.2,0,0,0,1,3,4,16
412.0,0.0,59.0,0.6,1.0,0,0,0,1,3,3,7
532.0,0.0,66.6,0.7,1.3,0,0,0,1,3,4,13
411.0,0.0,54.6,0.7,1.1,0,0,0,1,3,4,10
385.0,0.0,57.9,0.7,1.0,0,0,0,1,3,3,6
435.0,0.0,69.6,0.7,1.6,0,0,0,1,4,6,18
95.0,0.0,65.4,0.7,1.5,0,0,0,1,3,5,24
526.0,0.0,61.6,0.8,1.3,0,0,0,1,3,4,10
610.0,0.0,86.8,0.8,2.4,0,0,0,0,6,9,20
11.0,0.0,63.2,0.8,1.4,0,0,0,1,4,5,11
102.0,0.0,62.6,0.8,1.5,0,0,0,1,4,5,13
439.0,0.0,53.4,0.8,1.2,0,0,0,1,3,4,11
589.0,0.0,65.0,0.9,1.6,0,0,0,1,4,6,17
643.0,0.0,78.7,0.9,2.3,0,0,0,0,6,8,23
591.0,0.0,62.8,0.9,1.5,0,0,0,1,4,5,10
375.0,0.0,54.8,0.9,1.3,0,0,0,1,4,4,10
599.0,0.0,65.1,0.9,1.8,0,0,0,1,5,6,15
592.0,0.0,60.6,0.9,1.5,0,0,0,1,4,5,9
369.0,0.0,56.3,0.9,1.5,0,0,0,1,4,5,19
590.0,0.0,57.9,1.0,1.5,0,0,0,2,4,5,9
514.0,0.0,55.6,1.0,1.5,0,0,0,2,4,5,9
455.0,0.0,57.1,1.0,1.6,0,0,0,2,4,5,11
527.0,0.0,58.1,1.0,1.6,0,0,0,2,4,5,11
488.0,0.0,55.8,1.0,1.6,0,0,0,2,4,5,11
655.0,0.0,76.1,1.1,2.5,0,0,0,0,7,9,23
436.0,0.0,53.8,1.1,2.3,0,0,0,1,4,5,67
167.0,0.0,48.7,1.1,1.5,0,0,1,2,4,5,12
518.0,0.0,64.0,1.1,2.0,0,0,0,1,5,7,14
399.0,0.0,56.2,1.1,1.8,0,0,0,2,5,6,19
522.0,0.0,55.0,1.1,1.6,0,0,0,2,4,5,10
631.0,0.0,74.2,1.1,2.6,0,0,0,1,7,9,25
201.0,0.0,47.8,1.1,1.6,0,0,1,2,4,5,15
676.0,0.0,97.3,1.1,8.4,0,0,0,0,0,4,129
368.0,0.0,49.6,1.1,1.6,0,0,1,2,4,5,11
353.0,0.0,51.0,1.1,1.7,0,0,0,2,4,6,13
656.0,0.0,79.1,1.2,3.0,0,0,0,0,9,11,31
456.0,0.0,48.3,1.2,1.6,0,0,1,2,4,6,11
598.0,0.0,54.0,1.2,1.8,0,0,0,2,5,6,12
352.0,0.0,56.6,1.2,2.1,0,0,0,2,5,7,15
410.0,0.0,52.4,1.2,2.0,0,0,0,2,5,7,18
427.0,0.0,45.5,1.3,1.6,0,0,1,2,5,6,11
428.0,0.0,54.0,1.3,2.1,0,0,0,2,5,7,18
415.0,0.0,47.3,1.3,1.8,0,0,1,2,5,6,15
466.0,0.0,47.6,1.3,1.7,0,0,1,2,5,6,13
619.0,0.0,57.2,1.4,2.1,0,0,0,2,6,7,14
664.0,0.0,78.1,1.4,3.6,0,0,0,0,9,13,32
675.0,0.0,99.3,1.4,19.0,0,0,0,0,0,0,419
517.0,0.0,53.2,1.4,2.1,0,0,0,2,6,7,13
281.0,0.0,32.6,1.4,1.5,0,0,1,2,4,5,10
468.0,0.0,45.6,1.4,1.9,0,0,1,2,5,7,18
200.0,0.0,47.2,1.4,2.3,0,0,1,2,6,8,23
494.0,0.0,47.9,1.4,2.2,0,0,1,2,6,7,25
372.0,0.0,80.1,1.5,3.8,0,0,0,0,11,14,28
262.0,0.0,39.3,1.5,1.7,0,0,1,2,5,6,12
600.0,0.0,50.4,1.5,2.0,0,0,0,3,5,6,14
495.0,0.0,48.5,1.5,2.1,0,0,1,2,6,7,13
450.0,0.0,50.8,1.5,2.4,0,0,0,2,6,8,21
378.0,0.0,43.9,1.5,1.9,0,0,1,2,5,6,11
422.0,0.0,47.7,1.5,2.1,0,0,1,2,6,7,21
373.0,0.0,45.5,1.5,2.2,0,0,1,2,6,7,29
367.0,0.0,44.4,1.5,2.0,0,0,1,3,6,7,15
641.0,0.0,76.7,1.6,4.1,0,0,0,0,11,15,32
9.0,0.0,40.8,1.6,1.9,0,0,1,3,5,6,16
448.0,0.0,47.3,1.6,2.2,0,0,1,3,6,7,22
525.0,0.0,51.9,1.6,2.4,0,0,0,3,7,8,16
271.0,0.0,39.6,1.7,2.3,0,0,1,2,6,8,22
442.0,0.0,39.7,1.7,2.0,0,0,1,3,6,7,12
193.0,0.0,37.7,1.7,2.4,0,0,1,2,6,7,45
452.0,0.0,45.8,1.7,2.3,0,0,1,3,7,8,15
